Unique ID,Campaign type,Season,LTP,Date,Planned window (UT),Triggered by,EUI observed (UT),EUI files,EUI cadence,EUI status,EUI SOOP in SOAR,SPICE observed (UT),SPICE files,SPICE cadence,SPICE status,SPICE SOOP in SOAR,PHI observed (UT),PHI files,PHI cadence,PHI status,PHI SOOP in SOAR,Instruments in SOAR,Source,Notes,EUI start (UTC),EUI end (UTC),SPICE start (UTC),SPICE end (UTC),PHI start (UTC),PHI end (UTC)
MFT20241205b,Flare Hunting,Winter 2024,LTP17,2024-12-05,23:00 - 03:00 (+1d),EUI,23:00 - 02:59 (+1d),3840,3 s,as planned,none,,,,no data,,,,,n/a - PHI does not run flare-hunting,,EUI,Catalogue,,2024-12-05 23:00,2024-12-06 02:59,,,,
MFT20241207a,Flare Hunting,Winter 2024,LTP17,2024-12-07,13:00 - 17:00,EUI,13:00 - 16:59,4901,2 s,as planned,none,,,,no data,,,,,n/a - PHI does not run flare-hunting,,EUI,Catalogue,,2024-12-07 13:00,2024-12-07 16:59,,,,
MFT20241208a,Flare Hunting,Winter 2024,LTP17,2024-12-08,10:00 - 14:00,EUI,10:00 - 13:59,5400,2 s,as planned,none,,,,no data,,,,,n/a - PHI does not run flare-hunting,,EUI,Catalogue,,2024-12-08 10:00,2024-12-08 13:59,,,,
MFT20241209a,Flare Hunting,Winter 2024,LTP17,2024-12-09,21:00 - 00:00 (+1d),EUI,21:00 - 23:59,2880,3 s,as planned,none,18:19 - 21:35,2,11713 s,started 161 min early,R_FULL_LRES_LCAD_RS-Synoptics-High,,,,n/a - PHI does not run flare-hunting,,"EUI, SPICE",Catalogue,,2024-12-09 21:00,2024-12-09 23:59,2024-12-09 18:19,2024-12-09 21:35,,
MFT20241210a,Flare Hunting,Winter 2024,LTP17,2024-12-10,00:00 - 01:00,EUI,00:00 - 00:59,960,3 s,as planned,none,,,,no data,,,,,n/a - PHI does not run flare-hunting,,EUI,Catalogue,,2024-12-10 00:00,2024-12-10 00:59,,,,
MFT20241211a,Flare Hunting,Winter 2024,LTP17,2024-12-11,01:00 - 05:00,EUI,01:00 - 04:59,5400,2 s,as planned,none,,,,no data,,,,,n/a - PHI does not run flare-hunting,,EUI,Catalogue,,2024-12-11 01:00,2024-12-11 04:59,,,,
MFT20241212a,Flare Hunting,Winter 2024,LTP17,2024-12-12,11:00 - 15:00,EUI,11:00 - 14:59,5400,2 s,as planned,none,,,,no data,,,,,n/a - PHI does not run flare-hunting,,EUI,Catalogue,,2024-12-12 11:00,2024-12-12 14:59,,,,
MFT20241214a,Flare Hunting,Winter 2024,LTP17,2024-12-14,00:00 - 04:00,EUI,00:00 - 03:59,5400,2 s,as planned,none,,,,no data,,,,,n/a - PHI does not run flare-hunting,,EUI,Catalogue,,2024-12-14 00:00,2024-12-14 03:59,,,,
MFT20241215a,Flare Hunting,Winter 2024,LTP17,2024-12-15,19:00 - 23:00,EUI,19:00 - 22:59,3840,3 s,as planned,none,18:00 - 22:12,34,106 s,started 59 min early; ended 47 min early; ran past planned window,R_FULL_LRES_LCAD_RS-Synoptics-High;none,,,,n/a - PHI does not run flare-hunting,,"EUI, SPICE",Catalogue,,2024-12-15 19:00,2024-12-15 22:59,2024-12-15 18:00,2024-12-15 22:12,,
MFW20250314A,Major Flare,Spring 2025,LTP19,2025-03-14,16:10 - 23:10,,16:10 - 23:09,7980,3 s,as planned,L_BOTH_HRES_HCAD_Major-Flare,16:10 - 23:07,37,564 s,as planned,L_BOTH_HRES_HCAD_Major-Flare,16:10 - 23:09,29,15 min,as planned,L_BOTH_HRES_HCAD_Major-Flare,"EUI, SPICE, PHI",Catalogue,,2025-03-14 16:10,2025-03-14 23:09,2025-03-14 16:10,2025-03-14 23:07,2025-03-14 16:10,2025-03-14 23:09
MFW20250315A,Major Flare,Spring 2025,LTP19,2025-03-15,12:00 - 16:00,,12:00 - 15:59,5400,2 s,as planned,L_BOTH_HRES_HCAD_Major-Flare,12:00 - 15:53,19,564 s,as planned,L_BOTH_HRES_HCAD_Major-Flare,12:00 - 16:01,9,30 min,as planned; ran past planned window,L_BOTH_HRES_HCAD_Major-Flare,"EUI, SPICE, PHI",Catalogue,,2025-03-15 12:00,2025-03-15 15:59,2025-03-15 12:00,2025-03-15 15:53,2025-03-15 12:00,2025-03-15 16:01
MFW20250330A,Major Flare,Spring 2025,LTP19,2025-03-30,11:00 - 15:30,,11:30 - 15:29,5400,2 s,started 30 min late,L_BOTH_HRES_HCAD_Major-Flare,11:00 - 15:24,22,564 s,as planned,L_BOTH_HRES_HCAD_Major-Flare,11:00 - 15:01,9,30 min,as planned,L_BOTH_HRES_HCAD_Major-Flare,"EUI, SPICE, PHI",Catalogue,,2025-03-30 11:30,2025-03-30 15:29,2025-03-30 11:00,2025-03-30 15:24,2025-03-30 11:00,2025-03-30 15:01
MFW20250402A,Major Flare,Spring 2025,LTP19,2025-04-02,05:00 - 09:30,,05:30 - 09:29,4508,2 s,started 30 min late,L_BOTH_HRES_HCAD_Major-Flare,05:00 - 09:24,22,564 s,as planned,L_BOTH_HRES_HCAD_Major-Flare,05:00 - 09:01,9,30 min,as planned,L_BOTH_HRES_HCAD_Major-Flare,"EUI, SPICE, PHI",Catalogue,,2025-04-02 05:30,2025-04-02 09:29,2025-04-02 05:00,2025-04-02 09:24,2025-04-02 05:00,2025-04-02 09:01
MFW20250913A,Major Flare,Autumn 2025,LTP21,2025-09-13,18:30 - 22:30,,18:30 - 22:29,5400,2 s,as planned,L_BOTH_HRES_HCAD_Major-Flare,18:30 - 22:27,21,564 s,as planned,L_BOTH_HRES_HCAD_Major-Flare;none,18:35 - 22:06,8,30 min,started 5 min late,L_BOTH_HRES_HCAD_Major-Flare,"EUI, SPICE, PHI",Catalogue,Subtle eruption beginning at 19:15. Seems to be obscured at 174A. Seen well in SDO 304A. Some response in SPICE Ly-gamma and O VI lines,2025-09-13 18:30,2025-09-13 22:29,2025-09-13 18:30,2025-09-13 22:27,2025-09-13 18:35,2025-09-13 22:06
MFW20250917A,Major Flare,Autumn 2025,LTP21,2025-09-17,06:50 - 10:50,,06:50 - 10:49,5400,2 s,as planned,L_BOTH_HRES_HCAD_Major-Flare,06:50 - 10:47,20,564 s,as planned,L_BOTH_HRES_HCAD_Major-Flare;none,06:50 - 10:21,8,30 min,as planned,L_BOTH_HRES_HCAD_Major-Flare,"EUI, SPICE, PHI",Catalogue,"Small jet-like eruption at 10:00 in EUI, SPICE observes an enhancement",2025-09-17 06:50,2025-09-17 10:49,2025-09-17 06:50,2025-09-17 10:47,2025-09-17 06:50,2025-09-17 10:21
MFW20250918A,Major Flare,Autumn 2025,LTP21,2025-09-18,06:55 - 10:55,,06:55 - 10:54,5400,2 s,started 5 min late; ran past planned window,L_BOTH_HRES_HCAD_Major-Flare,06:55 - 10:52,31,564 s,as planned,L_BOTH_HRES_HCAD_Major-Flare;none,06:54 - 10:21,8,30 min,as planned,L_BOTH_HRES_HCAD_Major-Flare,"EUI, SPICE, PHI",Catalogue,,2025-09-18 06:55,2025-09-18 10:54,2025-09-18 06:55,2025-09-18 10:52,2025-09-18 06:54,2025-09-18 10:21
MFW20251002A,Major Flare,Autumn 2025,LTP21,2025-10-02,20:30 - 02:00 (+1d),,20:30 - 23:59,3990,3 s,ended 60 min early,L_BOTH_HRES_HCAD_Major-Flare,20:30 - 00:57 (+1d),23,564 s,as planned,L_BOTH_HRES_HCAD_Major-Flare,20:30 - 01:31 (+1d),7,30 min,as planned,L_BOTH_HRES_HCAD_Major-Flare,"EUI, SPICE, PHI",Catalogue,"Pointing error, the requested target coordinates were not used",2025-10-02 20:30,2025-10-02 23:59,2025-10-02 20:30,2025-10-03 00:57,2025-10-02 20:30,2025-10-03 01:31
MFW20251003A,Major Flare,Autumn 2025,LTP21,2025-10-03,20:30 - 02:00 (+1d),,20:30 - 23:59,3990,3 s,ended 30 min early,L_BOTH_HRES_HCAD_Major-Flare,20:30 - 00:57 (+1d),23,564 s,as planned,L_BOTH_HRES_HCAD_Major-Flare,20:30 - 01:31 (+1d),10,30 min,as planned,L_BOTH_HRES_HCAD_Major-Flare,"EUI, SPICE, PHI",Catalogue,"Pointing error, the requested target coordinates were not used",2025-10-03 20:30,2025-10-03 23:59,2025-10-03 20:30,2025-10-04 00:57,2025-10-03 20:30,2025-10-04 01:31
MFW20251006A,Major Flare,Autumn 2025,LTP21,2025-10-06,18:00 - 01:00 (+1d),,18:00 - 00:29 (+1d),7410,3 s,ended 30 min early,L_BOTH_HRES_HCAD_Major-Flare,18:00 - 00:58 (+1d),38,564 s,as planned,L_BOTH_HRES_HCAD_Major-Flare,18:00 - 00:31 (+1d),14,30 min,as planned,L_BOTH_HRES_HCAD_Major-Flare,"EUI, SPICE, PHI",Catalogue,,2025-10-06 18:00,2025-10-07 00:29,2025-10-06 18:00,2025-10-07 00:58,2025-10-06 18:00,2025-10-07 00:31
MFT20251120a,Flare Hunting,Winter 2025,,2025-11-20,,,10:00 - 13:59,5175,2 s,observed,L_BOTH_HRES_HCAD_Flare-Hunting,,,,,,,,,n/a - PHI does not run flare-hunting,,EUI,SOAR,"Found in SOAR, not in the original catalogue",2025-11-20 10:00,2025-11-20 13:59,,,,
MFT20251121a,Flare Hunting,Winter 2025,,2025-11-21,,,10:00 - 13:59,5153,2 s,observed,L_BOTH_HRES_HCAD_Flare-Hunting,,,,,,,,,n/a - PHI does not run flare-hunting,,EUI,SOAR,"Found in SOAR, not in the original catalogue",2025-11-21 10:00,2025-11-21 13:59,,,,
MFT20251122a,Flare Hunting,Winter 2025,,2025-11-22,,,10:00 - 13:59,5150,2 s,observed,L_BOTH_HRES_HCAD_Flare-Hunting,,,,,,,,,n/a - PHI does not run flare-hunting,,EUI,SOAR,"Found in SOAR, not in the original catalogue",2025-11-22 10:00,2025-11-22 13:59,,,,
MFT20251123a,Flare Hunting,Winter 2025,,2025-11-23,,,10:00 - 13:59,5219,2 s,observed,L_BOTH_HRES_HCAD_Flare-Hunting,,,,,,,,,n/a - PHI does not run flare-hunting,,EUI,SOAR,"Found in SOAR, not in the original catalogue",2025-11-23 10:00,2025-11-23 13:59,,,,
MFT20251124a,Flare Hunting,Winter 2025,LTP21,2025-11-24,10:00 - 14:00,EUI,10:00 - 13:59,5277,2 s,as planned,L_BOTH_HRES_HCAD_Flare-Hunting,,,,no data,,,,,n/a - PHI does not run flare-hunting,,EUI,Catalogue,,2025-11-24 10:00,2025-11-24 13:59,,,,
MFT20251125a,Flare Hunting,Winter 2025,LTP21,2025-11-25,10:00 - 14:00,EUI,10:00 - 13:59,5128,2 s,as planned,L_BOTH_HRES_HCAD_Flare-Hunting,,,,no data,,,,,n/a - PHI does not run flare-hunting,,EUI,Catalogue,,2025-11-25 10:00,2025-11-25 13:59,,,,
MFT20251126a,Flare Hunting,Winter 2025,LTP21,2025-11-26,10:00 - 14:00,EUI,10:00 - 13:59,4978,2 s,as planned,L_BOTH_HRES_HCAD_Flare-Hunting,,,,no data,,,,,n/a - PHI does not run flare-hunting,,EUI,Catalogue,,2025-11-26 10:00,2025-11-26 13:59,,,,
MFT20251127a,Flare Hunting,Winter 2025,LTP21,2025-11-27,10:00 - 14:00,EUI,10:00 - 13:59,4900,2 s,as planned,L_BOTH_HRES_HCAD_Flare-Hunting;none,,,,no data,,,,,n/a - PHI does not run flare-hunting,,EUI,Catalogue,,2025-11-27 10:00,2025-11-27 13:59,,,,
MFT20251128a,Flare Hunting,Winter 2025,LTP21,2025-11-28,10:00 - 14:00,EUI,10:00 - 13:59,4985,2 s,as planned,L_BOTH_HRES_HCAD_Flare-Hunting;none,,,,no data,,,,,n/a - PHI does not run flare-hunting,,EUI,Catalogue,,2025-11-28 10:00,2025-11-28 13:59,,,,
MFT20251129b,Flare Hunting,Winter 2025,,2025-11-29,,,04:00 - 05:02,798,2 s,observed,none,,,,,,,,,n/a - PHI does not run flare-hunting,,EUI,SOAR,"Found in SOAR, not in the original catalogue",2025-11-29 04:00,2025-11-29 05:02,,,,
